date,district,latitude,longitude,rainfall_mm,temperature_c,humidity_pct,sunshine_hours
2015-04-28,Bugesera,-2.1833,30.1667,5.77,18.58,85.11,21.76
2015-04-29,Bugesera,-2.1833,30.1667,1.94,19.89,76.21,21.83
2015-04-30,Bugesera,-2.1833,30.1667,2.46,19.41,81.33,12.77
2015-05-01,Bugesera,-2.1833,30.1667,2.56,19.24,83.25,19.7
2015-05-02,Bugesera,-2.1833,30.1667,5.61,19.0,87.38,11.59
2015-05-03,Bugesera,-2.1833,30.1667,3.64,18.53,85.61,19.25
2015-05-04,Bugesera,-2.1833,30.1667,2.52,19.61,82.08,20.6
2015-05-05,Bugesera,-2.1833,30.1667,1.47,19.29,81.44,17.18
2015-05-06,Bugesera,-2.1833,30.1667,2.87,19.41,81.14,14.85
2015-05-07,Bugesera,-2.1833,30.1667,3.94,18.96,83.08,16.55
2015-05-08,Bugesera,-2.1833,30.1667,4.71,18.93,83.89,12.68
2015-05-09,Bugesera,-2.1833,30.1667,5.4,18.91,86.47,15.02
2015-05-10,Bugesera,-2.1833,30.1667,1.48,19.83,79.42,20.05
2015-05-11,Bugesera,-2.1833,30.1667,2.22,19.95,78.5,22.05
2015-05-12,Bugesera,-2.1833,30.1667,1.64,19.3,82.0,17.57
2015-05-13,Bugesera,-2.1833,30.1667,2.47,19.98,81.04,18.38
2015-05-14,Bugesera,-2.1833,30.1667,3.06,19.67,84.99,15.3
2015-05-15,Bugesera,-2.1833,30.1667,2.83,19.92,83.51,19.36
2015-05-16,Bugesera,-2.1833,30.1667,5.69,19.97,82.38,16.77
2015-05-17,Bugesera,-2.1833,30.1667,6.0,19.58,83.3,19.65
2015-05-18,Bugesera,-2.1833,30.1667,3.54,19.17,78.76,19.91
2015-05-19,Bugesera,-2.1833,30.1667,0.88,19.54,75.36,18.01
2015-05-20,Bugesera,-2.1833,30.1667,0.28,19.3,73.82,17.24
2015-05-21,Bugesera,-2.1833,30.1667,2.3,18.88,76.0,19.55
2015-05-22,Bugesera,-2.1833,30.1667,0.47,19.18,75.06,19.41
2015-05-23,Bugesera,-2.1833,30.1667,0.23,19.59,71.52,21.17
2015-05-24,Bugesera,-2.1833,30.1667,3.02,20.23,75.63,19.18
2015-05-25,Bugesera,-2.1833,30.1667,6.65,19.49,80.5,19.57
2015-05-26,Bugesera,-2.1833,30.1667,2.39,19.24,78.82,16.54
2015-05-27,Bugesera,-2.1833,30.1667,1.83,19.41,77.4,19.48
2015-05-28,Bugesera,-2.1833,30.1667,0.49,20.17,74.89,20.43
2015-05-29,Bugesera,-2.1833,30.1667,1.71,19.71,77.7,16.4
2015-05-30,Bugesera,-2.1833,30.1667,7.68,20.18,76.2,17.0
2015-05-31,Bugesera,-2.1833,30.1667,3.5,19.8,78.91,17.64
2015-06-01,Bugesera,-2.1833,30.1667,5.42,19.21,81.52,15.31
2015-06-02,Bugesera,-2.1833,30.1667,3.99,19.04,82.3,10.53
2015-06-03,Bugesera,-2.1833,30.1667,1.74,19.8,78.35,18.8
2015-06-04,Bugesera,-2.1833,30.1667,17.95,18.68,86.06,15.05
2015-06-05,Bugesera,-2.1833,30.1667,0.19,20.14,75.97,15.42
2015-06-06,Bugesera,-2.1833,30.1667,0.02,19.94,63.13,20.98
2015-06-07,Bugesera,-2.1833,30.1667,0.0,19.62,61.72,21.04
2015-06-08,Bugesera,-2.1833,30.1667,0.0,19.86,65.86,21.95
2015-06-09,Bugesera,-2.1833,30.1667,0.0,19.38,68.96,20.32
2015-06-10,Bugesera,-2.1833,30.1667,0.09,19.77,69.17,21.98
2015-06-11,Bugesera,-2.1833,30.1667,0.34,20.35,69.48,19.24
2015-06-12,Bugesera,-2.1833,30.1667,0.4,19.91,71.92,16.69
2015-06-13,Bugesera,-2.1833,30.1667,0.88,19.87,72.22,17.47
2015-06-14,Bugesera,-2.1833,30.1667,0.78,19.82,70.44,14.98
2015-06-15,Bugesera,-2.1833,30.1667,0.02,21.15,64.21,20.73
2015-06-16,Bugesera,-2.1833,30.1667,0.47,21.44,66.55,18.22
2015-06-17,Bugesera,-2.1833,30.1667,1.76,20.58,73.5,15.68
2015-06-18,Bugesera,-2.1833,30.1667,19.93,19.58,79.56,9.31
2015-06-19,Bugesera,-2.1833,30.1667,5.4,18.1,86.6,11.11
2015-06-20,Bugesera,-2.1833,30.1667,2.66,18.62,78.83,13.36
2015-06-21,Bugesera,-2.1833,30.1667,0.02,19.12,68.48,18.98
2015-06-22,Bugesera,-2.1833,30.1667,0.12,19.09,69.34,19.65
2015-06-23,Bugesera,-2.1833,30.1667,0.07,19.34,67.25,19.75
2015-06-24,Bugesera,-2.1833,30.1667,0.21,19.73,69.24,18.61
2015-06-25,Bugesera,-2.1833,30.1667,0.22,20.26,67.24,16.43
2015-06-26,Bugesera,-2.1833,30.1667,1.22,19.55,70.87,14.51
2015-06-27,Bugesera,-2.1833,30.1667,0.02,19.72,70.73,19.28
2015-06-28,Bugesera,-2.1833,30.1667,0.01,20.27,66.51,20.78
2015-06-29,Bugesera,-2.1833,30.1667,0.09,20.04,68.68,15.61
2015-06-30,Bugesera,-2.1833,30.1667,3.8,20.23,74.42,17.36
2015-07-01,Bugesera,-2.1833,30.1667,1.11,20.38,74.12,17.23
2015-07-02,Bugesera,-2.1833,30.1667,1.08,19.6,76.89,15.03
2015-07-03,Bugesera,-2.1833,30.1667,2.06,19.93,74.83,14.32
2015-07-04,Bugesera,-2.1833,30.1667,3.32,19.51,73.5,14.25
2015-07-05,Bugesera,-2.1833,30.1667,0.0,19.33,67.4,21.46
2015-07-06,Bugesera,-2.1833,30.1667,0.0,19.0,63.1,22.3
2015-07-07,Bugesera,-2.1833,30.1667,0.0,18.53,67.56,20.14
2015-07-08,Bugesera,-2.1833,30.1667,0.0,19.59,70.37,19.85
2015-07-09,Bugesera,-2.1833,30.1667,0.0,20.43,65.65,23.23
2015-07-10,Bugesera,-2.1833,30.1667,0.0,20.75,64.44,22.92
2015-07-11,Bugesera,-2.1833,30.1667,0.0,20.08,62.94,22.31
2015-07-12,Bugesera,-2.1833,30.1667,0.0,19.59,58.08,23.47
2015-07-13,Bugesera,-2.1833,30.1667,0.0,19.75,57.17,22.55
2015-07-14,Bugesera,-2.1833,30.1667,0.0,20.51,58.78,22.67
2015-07-15,Bugesera,-2.1833,30.1667,0.0,19.58,61.43,23.17
2015-07-16,Bugesera,-2.1833,30.1667,0.0,20.49,56.4,23.66
2015-07-17,Bugesera,-2.1833,30.1667,0.09,21.83,52.72,23.24
2015-07-18,Bugesera,-2.1833,30.1667,0.06,22.39,55.61,21.26
2015-07-19,Bugesera,-2.1833,30.1667,0.37,20.71,64.91,20.38
2015-07-20,Bugesera,-2.1833,30.1667,0.04,20.94,63.23,20.8
2015-07-21,Bugesera,-2.1833,30.1667,0.0,21.0,60.03,20.76
2015-07-22,Bugesera,-2.1833,30.1667,0.0,20.53,62.98,21.35
2015-07-23,Bugesera,-2.1833,30.1667,0.02,20.85,58.33,22.7
2015-07-24,Bugesera,-2.1833,30.1667,0.0,21.48,59.65,20.93
2015-07-25,Bugesera,-2.1833,30.1667,0.1,21.82,61.76,20.64
2015-07-26,Bugesera,-2.1833,30.1667,0.01,22.44,57.49,19.55
2015-07-27,Bugesera,-2.1833,30.1667,0.0,21.74,57.83,20.43
2015-07-28,Bugesera,-2.1833,30.1667,0.0,20.76,51.53,21.8
2015-07-29,Bugesera,-2.1833,30.1667,0.0,19.94,54.89,21.79
2015-07-30,Bugesera,-2.1833,30.1667,0.22,20.42,61.08,16.81
2015-07-31,Bugesera,-2.1833,30.1667,1.1,21.05,64.48,16.04
2015-08-01,Bugesera,-2.1833,30.1667,0.33,21.82,62.84,18.29
2015-08-02,Bugesera,-2.1833,30.1667,3.11,20.54,68.47,11.61
2015-08-03,Bugesera,-2.1833,30.1667,0.7,19.87,67.84,14.89
2015-08-04,Bugesera,-2.1833,30.1667,0.32,20.72,63.84,18.7
2015-08-05,Bugesera,-2.1833,30.1667,0.5,20.59,62.91,20.61
2015-08-06,Bugesera,-2.1833,30.1667,0.49,21.01,61.48,20.34
2015-08-07,Bugesera,-2.1833,30.1667,0.41,21.18,62.95,18.68
2015-08-08,Bugesera,-2.1833,30.1667,0.01,21.25,58.98,21.1
2015-08-09,Bugesera,-2.1833,30.1667,0.0,19.87,58.47,21.24
2015-08-10,Bugesera,-2.1833,30.1667,0.02,20.57,56.28,17.85
2015-08-11,Bugesera,-2.1833,30.1667,0.17,21.0,64.97,11.8
2015-08-12,Bugesera,-2.1833,30.1667,0.06,21.87,63.3,19.92
2015-08-13,Bugesera,-2.1833,30.1667,0.01,22.39,57.27,20.46
2015-08-14,Bugesera,-2.1833,30.1667,0.04,22.13,59.72,18.48
2015-08-15,Bugesera,-2.1833,30.1667,0.11,22.38,59.84,20.22
2015-08-16,Bugesera,-2.1833,30.1667,0.0,21.97,52.28,25.47
2015-08-17,Bugesera,-2.1833,30.1667,0.0,20.46,43.39,25.7
2015-08-18,Bugesera,-2.1833,30.1667,0.0,20.99,47.0,25.84
2015-08-19,Bugesera,-2.1833,30.1667,0.01,22.37,46.68,24.8
2015-08-20,Bugesera,-2.1833,30.1667,0.03,22.9,49.25,23.58
2015-08-21,Bugesera,-2.1833,30.1667,0.38,22.2,56.8,18.18
2015-08-22,Bugesera,-2.1833,30.1667,0.08,22.41,49.45,24.92
2015-08-23,Bugesera,-2.1833,30.1667,0.0,19.51,49.75,21.13
2015-08-24,Bugesera,-2.1833,30.1667,0.0,19.96,46.37,25.02
2015-08-25,Bugesera,-2.1833,30.1667,0.01,20.03,51.0,23.01
2015-08-26,Bugesera,-2.1833,30.1667,0.08,21.87,49.83,23.28
2015-08-27,Bugesera,-2.1833,30.1667,0.05,22.54,47.61,24.18
2015-08-28,Bugesera,-2.1833,30.1667,0.22,22.61,49.57,23.58
2015-08-29,Bugesera,-2.1833,30.1667,0.51,22.94,53.44,23.04
2015-08-30,Bugesera,-2.1833,30.1667,0.15,23.93,51.61,23.18
2015-08-31,Bugesera,-2.1833,30.1667,2.8,23.26,56.3,19.95
2015-09-01,Bugesera,-2.1833,30.1667,4.21,21.8,67.83,18.67
2015-09-02,Bugesera,-2.1833,30.1667,6.36,20.07,78.82,20.75
2015-09-03,Bugesera,-2.1833,30.1667,6.34,20.78,74.39,18.5
2015-09-04,Bugesera,-2.1833,30.1667,5.98,19.19,82.64,12.91
2015-09-05,Bugesera,-2.1833,30.1667,6.6,19.05,80.81,16.48
2015-09-06,Bugesera,-2.1833,30.1667,1.58,19.77,73.92,13.35
2015-09-07,Bugesera,-2.1833,30.1667,0.47,20.96,67.14,20.36
2015-09-08,Bugesera,-2.1833,30.1667,0.82,21.32,63.03,24.49
2015-09-09,Bugesera,-2.1833,30.1667,0.44,21.88,62.75,21.99
2015-09-10,Bugesera,-2.1833,30.1667,0.3,21.46,64.26,21.13
2015-09-11,Bugesera,-2.1833,30.1667,0.5,21.93,62.07,23.74
2015-09-12,Bugesera,-2.1833,30.1667,0.65,21.96,63.28,21.36
2015-09-13,Bugesera,-2.1833,30.1667,5.37,22.24,61.72,20.37
2015-09-14,Bugesera,-2.1833,30.1667,0.05,21.91,58.27,22.45
2015-09-15,Bugesera,-2.1833,30.1667,0.91,21.73,61.09,22.66
2015-09-16,Bugesera,-2.1833,30.1667,4.28,21.52,67.88,21.67
2015-09-17,Bugesera,-2.1833,30.1667,1.69,21.74,66.14,18.34
2015-09-18,Bugesera,-2.1833,30.1667,0.49,22.18,63.95,21.45
2015-09-19,Bugesera,-2.1833,30.1667,0.48,22.4,61.78,21.76
2015-09-20,Bugesera,-2.1833,30.1667,0.43,22.22,59.02,24.26
2015-09-21,Bugesera,-2.1833,30.1667,0.01,22.04,52.06,26.31
2015-09-22,Bugesera,-2.1833,30.1667,0.05,22.6,53.78,25.43
2015-09-23,Bugesera,-2.1833,30.1667,0.11,22.97,54.75,21.19
2015-09-24,Bugesera,-2.1833,30.1667,0.54,22.67,58.84,23.36
2015-09-25,Bugesera,-2.1833,30.1667,2.17,21.77,65.52,18.08
2015-09-26,Bugesera,-2.1833,30.1667,2.06,19.73,76.33,14.22
2015-09-27,Bugesera,-2.1833,30.1667,1.26,20.26,72.92,13.98
2015-09-28,Bugesera,-2.1833,30.1667,3.26,21.29,67.52,17.14
2015-09-29,Bugesera,-2.1833,30.1667,0.71,22.31,63.35,24.46
2015-09-30,Bugesera,-2.1833,30.1667,1.67,22.07,64.48,20.76
2015-10-01,Bugesera,-2.1833,30.1667,4.29,21.51,68.15,14.85
2015-10-02,Bugesera,-2.1833,30.1667,2.98,21.77,65.33,16.35
2015-10-03,Bugesera,-2.1833,30.1667,5.24,19.52,82.42,14.81
2015-10-04,Bugesera,-2.1833,30.1667,2.55,21.03,72.49,20.33
2015-10-05,Bugesera,-2.1833,30.1667,0.74,21.97,64.64,21.46
2015-10-06,Bugesera,-2.1833,30.1667,0.06,22.6,58.19,25.93
2015-10-07,Bugesera,-2.1833,30.1667,0.41,21.86,57.4,23.73
2015-10-08,Bugesera,-2.1833,30.1667,0.76,21.89,62.45,21.55
2015-10-09,Bugesera,-2.1833,30.1667,6.91,21.24,72.37,18.53
2015-10-10,Bugesera,-2.1833,30.1667,1.51,20.91,72.6,18.42
2015-10-11,Bugesera,-2.1833,30.1667,6.54,20.15,77.55,12.63
2015-10-12,Bugesera,-2.1833,30.1667,1.92,21.06,70.99,20.04
2015-10-13,Bugesera,-2.1833,30.1667,2.49,21.31,69.44,14.99
2015-10-14,Bugesera,-2.1833,30.1667,1.48,21.05,68.69,21.02
2015-10-15,Bugesera,-2.1833,30.1667,1.61,21.0,71.05,20.05
2015-10-16,Bugesera,-2.1833,30.1667,1.63,21.92,69.64,17.48
2015-10-17,Bugesera,-2.1833,30.1667,3.57,18.94,82.59,11.61
2015-10-18,Bugesera,-2.1833,30.1667,22.52,18.89,78.85,12.9
2015-10-19,Bugesera,-2.1833,30.1667,3.19,19.7,78.84,16.77
2015-10-20,Bugesera,-2.1833,30.1667,3.46,19.6,78.93,19.01
2015-10-21,Bugesera,-2.1833,30.1667,1.82,20.82,73.47,18.94
2015-10-22,Bugesera,-2.1833,30.1667,2.23,21.36,72.37,21.66
2015-10-23,Bugesera,-2.1833,30.1667,3.63,20.9,76.25,14.8
2015-10-24,Bugesera,-2.1833,30.1667,8.32,18.75,84.53,16.57
2015-10-25,Bugesera,-2.1833,30.1667,3.96,19.79,79.93,12.71
2015-10-26,Bugesera,-2.1833,30.1667,3.29,20.21,76.7,18.64
2015-10-27,Bugesera,-2.1833,30.1667,1.25,20.94,75.5,18.21
2015-10-28,Bugesera,-2.1833,30.1667,7.37,20.51,79.72,19.02
2015-10-29,Bugesera,-2.1833,30.1667,10.98,19.28,81.69,11.19
2015-10-30,Bugesera,-2.1833,30.1667,16.49,19.55,79.35,16.6
2015-10-31,Bugesera,-2.1833,30.1667,12.5,19.65,81.92,17.47
2015-11-01,Bugesera,-2.1833,30.1667,6.1,20.25,80.79,17.73
2015-11-02,Bugesera,-2.1833,30.1667,12.18,20.35,77.23,15.25
2015-11-03,Bugesera,-2.1833,30.1667,20.25,20.3,80.39,20.31
2015-11-04,Bugesera,-2.1833,30.1667,4.07,19.96,78.85,12.39
2015-11-05,Bugesera,-2.1833,30.1667,20.75,18.07,91.27,9.51
2015-11-06,Bugesera,-2.1833,30.1667,2.41,19.08,79.94,19.17
2015-11-07,Bugesera,-2.1833,30.1667,3.54,18.84,85.56,14.85
2015-11-08,Bugesera,-2.1833,30.1667,1.74,19.3,80.78,17.54
2015-11-09,Bugesera,-2.1833,30.1667,3.66,18.36,85.83,11.95
2015-11-10,Bugesera,-2.1833,30.1667,13.31,19.48,79.79,18.73
2015-11-11,Bugesera,-2.1833,30.1667,23.73,19.24,83.29,20.53
2015-11-12,Bugesera,-2.1833,30.1667,4.77,19.1,86.13,21.93
2015-11-13,Bugesera,-2.1833,30.1667,8.99,19.89,83.5,16.92
2015-11-14,Bugesera,-2.1833,30.1667,0.87,19.68,80.13,23.49
2015-11-15,Bugesera,-2.1833,30.1667,6.11,20.14,79.18,10.29
2015-11-16,Bugesera,-2.1833,30.1667,25.99,19.75,82.61,9.52
2015-11-17,Bugesera,-2.1833,30.1667,15.88,18.48,84.89,13.38
2015-11-18,Bugesera,-2.1833,30.1667,1.72,19.83,77.91,18.69
2015-11-19,Bugesera,-2.1833,30.1667,2.16,19.95,81.0,18.61
2015-11-20,Bugesera,-2.1833,30.1667,3.88,19.11,85.02,16.83
2015-11-21,Bugesera,-2.1833,30.1667,2.58,19.17,80.63,17.36
2015-11-22,Bugesera,-2.1833,30.1667,2.77,19.46,82.22,19.93
2015-11-23,Bugesera,-2.1833,30.1667,6.04,20.02,81.3,20.17
2015-11-24,Bugesera,-2.1833,30.1667,5.77,19.12,84.91,21.47
2015-11-25,Bugesera,-2.1833,30.1667,3.86,20.37,79.34,21.88
2015-11-26,Bugesera,-2.1833,30.1667,16.15,19.17,86.85,17.41
2015-11-27,Bugesera,-2.1833,30.1667,11.6,19.03,83.58,12.48
2015-11-28,Bugesera,-2.1833,30.1667,3.45,19.54,82.37,15.37
2015-11-29,Bugesera,-2.1833,30.1667,1.98,19.31,82.91,17.77
2015-11-30,Bugesera,-2.1833,30.1667,12.14,18.28,91.15,13.1
2015-12-01,Bugesera,-2.1833,30.1667,2.07,19.77,81.69,20.08
2015-12-02,Bugesera,-2.1833,30.1667,1.73,19.89,82.48,15.47
2015-12-03,Bugesera,-2.1833,30.1667,1.5,20.24,81.1,17.83
2015-12-04,Bugesera,-2.1833,30.1667,3.03,19.38,84.05,15.04
2015-12-05,Bugesera,-2.1833,30.1667,1.56,19.96,80.14,15.72
2015-12-06,Bugesera,-2.1833,30.1667,1.0,20.23,79.61,20.2
2015-12-07,Bugesera,-2.1833,30.1667,0.89,20.06,79.41,23.27
2015-12-08,Bugesera,-2.1833,30.1667,1.17,20.37,78.3,15.37
2015-12-09,Bugesera,-2.1833,30.1667,1.45,20.58,78.57,19.43
2015-12-10,Bugesera,-2.1833,30.1667,4.81,20.55,81.13,15.57
2015-12-11,Bugesera,-2.1833,30.1667,7.61,19.39,86.03,20.11
2015-12-12,Bugesera,-2.1833,30.1667,2.89,19.9,82.44,16.56
2015-12-13,Bugesera,-2.1833,30.1667,10.49,18.53,85.22,15.91
